,temp.min,temp.max,temp.mean,hum.min,hum.max,hum.mean,press.min,press.max,press.mean,sunshine,gust.min,gust.max,gust.mean,speed.min,speed.max,speed.mean
857,-0.26947135,6.6605286999999995,3.2246954,50,82,69.416664,1025.4,1032.3,1028.871,338.00015,0.35999998,32.399998,6.4649997,1.0983953000000002,7.539638,4.220568
858,2.9405286,7.9205284,4.906361599999999,68,88,79.083336,1029.7,1033.8,1032.0416,0.0,7.2,27.359999,14.714998999999999,1.0656,8.411661,4.0434475
861,12.120529,15.370529000000001,13.345113000000001,68,83,77.416664,1017.8,1026.9,1022.9709,176.17021,47.16,64.799995,57.690002,23.4432,32.654379999999996,28.112879
863,2.6905286,12.150528999999999,6.3109455,29,79,50.458332,1023.5,1030.8,1027.1708,0.0,29.88,46.44,37.875,2.8692157000000003,24.560865,13.64746
864,3.5405285,12.250529,7.8784447,33,72,46.416668,1014.5,1024.4,1018.625,469.89218,27.359999,47.519997,36.945,4.0048699999999995,19.98,10.699589
866,4.260528599999999,13.200529000000001,8.371777999999999,48,82,62.16666800000001,1007.2,1020.4,1012.4875,61.22099300000001,20.519999,42.48,32.789997,5.6637416,16.413353,10.729076
869,-1.0194713,5.650528400000001,1.3938621,58,93,78.25,1013.5,1021.4,1017.5292400000001,46.595745,6.4799995,15.480000500000001,11.114998,4.336678,11.15386,7.9018064
872,0.40052867,5.940528400000001,2.2726119,62,95,83.541664,1007.3,1011.8,1009.18756,417.88013,4.68,26.28,12.719998,0.5328,20.469507,7.7278156000000005
873,-1.3594713,4.470528599999999,1.0217787,67,95,87.291664,1007.9,1018.0,1012.1375,316.41666000000004,1.4399998999999999,19.08,9.81,1.7057923,7.947475999999999,5.419335
874,0.020528657,3.8505285000000002,1.9063618999999998,79,96,88.25,1018.4,1024.8,1021.2625,0.0,5.04,21.24,12.419999,2.6639999999999997,11.999834,7.0750537
876,-0.94947135,4.0805287,1.2834451999999998,67,96,84.666664,1025.6,1030.9,1029.2083,171.4468,6.8399997,34.2,21.51,1.4346079,19.099226,10.895707000000002
885,-0.83947134,4.420528400000001,1.1501119,58,93,78.041664,1000.4,1004.6,1002.3291,239.7319,4.32,24.119999,13.769999499999999,3.4115846,14.748554,8.834621
886,-1.8194714,2.5205286,-0.168638,59,83,72.208336,1004.3,1013.1,1007.8625,552.7429,9.72,30.239997999999996,20.939999,2.1477854,18.95937,9.06833
887,-1.9094714,1.6905286,-0.047387976,56,72,65.833336,1010.5,1013.7,1012.13745,21.063831,20.880001,39.239998,30.284996000000003,9.910653,25.906628,17.160894
888,-1.7294713,2.1705287,-0.08155470000000001,57,72,64.666664,1013.9,1019.5,1015.7834,587.3752,26.64,51.48,40.334995,7.835058999999999,26.621346000000003,16.396261
889,-3.6894715,2.5905285,-0.90530473,47,76,61.66666800000001,1020.3,1030.4,1025.6292,468.15778,10.08,49.68,31.815002000000003,0.5328,21.658829,10.67731
890,-2.7394714,3.3205285000000004,-0.2915548,61,89,77.708336,1028.5,1033.6,1031.0751,316.53052,2.16,42.12,18.839998,0.2664,29.24703,9.662289999999999
891,-1.3294713,5.6305285000000005,1.8121953999999998,52,88,73.083336,1031.3,1035.7,1033.6542,313.0468,5.3999996,21.599998,15.105001999999999,2.3827540000000003,14.770192000000002,7.7514515
892,-1.8094714,6.450528599999999,2.3101118,67,96,83.333336,1028.7,1033.4,1031.0709,542.2543,4.68,27.0,16.200003,0.2664,15.034498000000001,6.598764
893,-0.50947136,9.160528999999999,3.2901123,65,96,80.625,1023.5,1029.2,1026.5416,605.40356,5.04,20.880001,13.875,5.117376999999999,15.888252,9.59281
894,-0.19947135,11.130529,4.8238616,55,90,74.458336,1020.7,1024.3,1022.5791,608.95,2.16,9.0,4.935,3.0374274,6.6600003,5.183269999999999
895,3.6205285000000003,11.990528999999999,6.897612,47,82,59.625,1015.2,1022.9,1019.6125,19.684044,2.52,22.68,10.290001,1.8837326,7.743950999999999,5.4146849999999995
898,2.0705285,8.850529,4.599279,65,93,84.416664,1014.7,1021.2,1018.2292,242.27145,3.2399998,12.959999,7.334998599999999,1.0656,6.236264,3.5591593
899,1.3405286,7.5805286999999995,3.6671953,61,96,84.875,1021.3,1037.1,1029.3792,356.55,1.8,24.119999,9.269999499999999,0.0,12.132174000000001,5.1483464
900,-0.32947135,6.5905285000000005,2.6121952999999998,69,95,84.291664,1036.1,1039.7,1037.9501,417.4617,2.16,18.359999,9.269999499999999,0.2664,6.179101999999999,2.6385736
901,-0.45947134,7.700528599999999,3.101362,58,94,77.041664,1027.1,1037.6,1032.6167,631.3833599999999,3.2399998,20.880001,10.469999000000001,0.2664,8.05392,4.6067057
902,2.0105286,13.100529,6.011362,37,85,60.625,1009.6,1026.9,1019.50006,634.6667,1.4399998999999999,34.2,21.225002,2.6639999999999997,14.854039000000002,7.701484700000001
904,2.8305285,7.010528599999999,4.4542785,60,93,77.5,1003.7,1011.5,1008.5,390.50357,4.32,12.24,8.52,1.8837326,7.6285353,3.915741
908,2.2205286,10.130529,5.597195,47,87,69.125,1013.3,1021.4,1018.325,451.9865,2.52,11.519999499999999,7.559999499999999,0.7534930000000001,9.827957000000001,5.1634417
910,0.68052864,7.220528599999999,3.4671953,61,88,77.791664,1018.3,1024.3,1021.6584,557.2824,1.08,22.319998000000002,10.259999,0.37674650000000004,9.185971,3.816003
913,15.190529000000002,25.250528,21.273447,44,78,61.95833199999999,1019.4,1023.8,1021.9709,817.0321,8.64,23.039998999999998,15.599998000000001,1.5533656,13.226431,6.754544
914,14.540529000000001,27.80053,21.17553,55,93,74.583336,1020.2,1025.5,1023.2832599999999,769.52264,5.04,13.679998999999999,8.535,2.4560866000000003,7.766828,4.688848999999999
915,18.190529,31.21053,25.137610000000002,43,96,66.333336,1017.9,1021.2,1019.6541,882.76624,2.8799999,15.480000500000001,8.235000999999999,0.5956885000000001,8.599397999999999,3.3054419000000004
916,20.850529,29.510529,25.246363,42,81,61.16666800000001,1019.4,1024.6,1021.6333599999999,711.1401,2.52,24.48,11.805,2.1967907,14.861204,7.709249000000001
919,12.380529,20.56053,15.792613000000001,56,95,77.75,1018.9,1021.3,1020.1001,299.7369,9.0,21.24,14.580001000000001,5.089565,15.508507999999999,9.088098
920,11.670529,24.840528,18.480112,53,87,70.541664,1017.7,1021.0,1019.4749,411.28046,3.2399998,14.4,8.789999,1.5533656,7.1730385,4.252898
921,16.37053,27.20053,22.002610999999998,48,88,66.416664,1012.3,1019.2,1016.3376,919.2807,2.8799999,17.64,9.134999,1.0656,8.7912,4.882503
927,9.280529,21.350529,15.948445000000001,53,92,70.208336,1020.4,1023.7,1022.10406,718.5269999999999,4.68,16.56,12.134999,2.1312,13.3625555,7.3415856
932,13.310529,23.670528,18.677198,41,84,64.333336,1007.8,1017.6,1013.2710000000001,0.0,17.64,33.48,24.390005,0.37674650000000004,17.74512,8.78459
