,temp.min,temp.max,temp.mean,hum.min,hum.max,hum.mean,press.min,press.max,press.mean,precipipitation,sunshine,gust.min,gust.max,gust.mean,speed.min,speed.max,speed.mean
288,5.100528700000001,7.720528599999999,6.350944,66,78,72.958336,1009.2,1014.1,1012.1206699999999,2.1,322.03937,15.84,73.799995,50.414997,5.9150395,26.974890000000002,16.47231
289,2.9605286,10.010529,6.952611999999999,64,85,73.083336,983.6,1008.0,993.7456699999999,13.899999,123.47623999999999,54.719997,133.2,90.74999,13.37848,55.01015,36.360706
294,2.3805285,4.9605284,3.7159452000000006,80,93,87.041664,1019.7,1022.5,1021.23315,4.4,0.0,9.36,39.6,29.789998999999998,4.13564,23.539873,13.024044
295,4.760528599999999,9.000529,6.906778299999999,86,92,89.458336,1022.8,1029.0,1025.4624,2.9,0.0,8.64,42.48,30.029996999999998,4.161301,17.324194,10.325569
297,1.2605287,6.8505287,4.168444999999999,75,94,82.625,1019.3,1035.7,1027.4957,2.2,47.324825,12.24,53.28,39.614994,6.9315205,25.62153,15.837095999999999
303,3.2005286,4.760528599999999,3.8701123999999996,73,87,81.333336,1015.9,1022.8,1019.3667,2.4,137.87233,35.64,81.72,54.77999499999999,11.380612,34.829190000000004,23.558046
304,2.4505286,10.210529,6.5926113,74,93,85.375,1015.1,1021.0,1017.0168,11.799999,0.0,7.559999499999999,50.76,34.785,3.7296,17.446657000000002,10.760349
305,8.130529,14.460529000000001,11.313446,68,89,80.125,1016.8,1020.2,1018.4501300000001,0.3,40.851067,12.599999,49.32,35.144997,7.387499000000001,16.154035999999998,11.652977
306,6.200528599999999,11.720528999999999,9.06053,66,87,75.958336,1011.5,1022.2,1015.4541,1.4000001,0.0,5.7599998,67.32,32.819996,3.767465,26.271146999999996,12.586322000000001
307,0.84052867,10.3005295,5.9509463,49,91,75.125,1018.0,1027.9,1023.61676,0.6,382.50293,7.92,77.76,39.435,5.8182635000000005,26.082726,13.800732
308,4.540529,9.770529,7.092612700000001,63,86,74.916664,1015.9,1027.7,1022.5666,4.4,379.48537999999996,39.239998,76.67999,54.765,14.209388,26.823187,21.345910999999997
309,4.950528599999999,9.320528999999999,6.660111,63,83,73.833336,998.2,1024.5,1008.75415,3.5,39.574463,57.96,92.88,79.38,20.519718,39.768623,31.235025
311,0.12052866,6.700528599999999,4.045945,59,89,80.291664,1021.7,1028.6,1024.9376,0.4,0.0,21.96,59.76,45.824993,7.8666973,24.70061,16.542
313,2.9905286,6.6705284,4.780946299999999,74,92,84.25,1027.2,1033.1,1030.9917,0.1,0.0,15.480000500000001,35.28,23.954995999999998,8.009739999999999,13.680099499999999,10.75809
314,4.500528299999999,8.540529,6.5055294,78,90,84.875,1032.1,1035.8,1034.5209,0.2,177.85178,1.08,35.64,13.11,0.5956885000000001,13.565489999999999,6.1566220000000005
